"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.CARP.ULN. RT","s",296.98000,2000,22000,"uV"

"time","value"
296.98000,-9.431742618
296.98050,-8.821353802
296.98100,-6.074604133
296.98150,-3.022660056
296.98200,-0.2759103866
296.98250,2.470839283
296.98300,4.912394544
296.98350,5.827977767
296.98400,6.438366583
296.98450,9.49031066
296.98500,12.84744914
296.98550,12.84744914
296.98600,9.49031066
296.98650,6.438366583
296.98700,6.743560991
296.98750,7.353949806
296.98800,5.827977767
296.98850,4.302005729
296.98900,4.912394544
296.98950,5.52278336
296.99000,3.996811321
296.99050,1.55525606
296.99100,1.250061652
296.99150,2.165644875
296.99200,1.55525606
296.99250,-0.5811047943
296.99300,-1.496688017
296.99350,0.02928402113
296.99400,0.02928402113
296.99450,-1.19149361
296.99500,-3.022660056
296.99550,-3.022660056
296.99600,-2.717465648
296.99650,-3.938243279
296.99700,-5.15902091
296.99750,-4.243437687
296.99800,-2.107076833
296.99850,-1.19149361
296.99900,-3.022660056
296.99950,-6.684992948
297.00000,-9.431742618
297.00050,-10.34732584
297.00100,-8.821353802
297.00150,-4.853826502
297.00200,0.02928402113
297.00250,3.996811321
297.00300,5.827977767
297.00350,5.217588952
297.00400,3.691616914
297.00450,2.77603369
297.00500,2.165644875
297.00550,2.470839283
297.00600,3.386422506
297.00650,4.912394544
297.00700,6.743560991
297.00750,7.048755398
297.00800,6.133172175
297.00850,5.217588952
297.00900,4.607200137
297.00950,4.607200137
297.01000,3.996811321
297.01050,2.77603369
297.01100,1.55525606
297.01150,0.6396728365
297.01200,-0.886299202
297.01250,-2.41227124
297.01300,-2.717465648
297.01350,-2.107076833
297.01400,-1.496688017
297.01450,-2.41227124
297.01500,-3.938243279
297.01550,-5.464215317
297.01600,-6.379798541
297.01650,-6.684992948
297.01700,-6.990187356
297.01750,-7.600576171
297.01800,-7.905770579
297.01850,-6.990187356
297.01900,-4.243437687
297.01950,-2.41227124
297.02000,-2.717465648
297.02050,-3.022660056
297.02100,-1.496688017
297.02150,1.250061652
297.02200,2.470839283
297.02250,1.250061652
297.02300,0.6396728365
297.02350,2.77603369
297.02400,4.912394544
297.02450,4.302005729
297.02500,2.77603369
297.02550,3.081228098
297.02600,4.607200137
297.02650,4.912394544
297.02700,4.302005729
297.02750,3.691616914
297.02800,3.386422506
297.02850,1.55525606
297.02900,-0.5811047943
297.02950,-1.496688017
297.03000,-1.496688017
297.03050,-2.107076833
297.03100,-3.633048871
297.03150,-4.548632094
297.03200,-4.548632094
297.03250,-5.15902091
297.03300,-5.464215317
297.03350,-4.243437687
297.03400,-1.496688017
297.03450,0.9448672442
297.03500,2.470839283
297.03550,3.691616914
297.03600,4.302005729
297.03650,3.996811321
297.03700,2.77603369
297.03750,1.860450467
297.03800,0.9448672442
297.03850,-0.2759103866
297.03900,-1.801882425
297.03950,-1.801882425
297.04000,-0.2759103866
297.04050,0.02928402113
297.04100,-1.496688017
297.04150,-2.717465648
297.04200,-2.41227124
297.04250,-1.801882425
297.04300,-1.19149361
297.04350,-0.5811047943
297.04400,0.02928402113
297.04450,0.6396728365
297.04500,0.3344784288
297.04550,0.6396728365
297.04600,2.165644875
297.04650,3.386422506
297.04700,3.386422506
297.04750,3.386422506
297.04800,4.607200137
297.04850,5.52278336
297.04900,5.217588952
297.04950,4.912394544
297.05000,4.302005729
297.05050,3.081228098
297.05100,1.250061652
297.05150,0.02928402113
297.05200,0.02928402113
297.05250,-0.2759103866
