time,Brachiarod, EXt Carp,EXT DIG,Flex CarpU,Flex Carp R
296.98,1.850231564,-9.431742618,2.021360063,-3.642047607,-2.45741744
296.9805,1.850231564,-8.821353802,0.8005824318,-5.168019645,-2.45741744
296.981,2.46062038,-6.074604133,-0.1150007913,-6.388797276,0.2893322296
296.9815,2.765814787,-3.022660056,-0.420195199,-7.304380499,3.951665122
296.982,1.545037156,-0.2759103866,-1.030584014,-7.609574907,4.562053937
296.9825,0.01906511792,2.470839283,-1.946167238,-6.999186092,2.120498676
296.983,-0.8965181052,4.912394544,-2.861750461,-6.693991684,0.5945266373
296.9835,-1.201712513,5.827977767,-2.556556053,-6.388797276,1.204915453
296.984,-1.506906921,6.438366583,-1.946167238,-5.778408461,0.899721045
296.9845,-1.201712513,9.49031066,-1.335778422,-3.336853199,-1.847028624
296.985,-0.5913236975,12.84744914,-1.335778422,-0.5901035299,-4.593778294
296.9855,0.01906511792,12.84744914,-1.335778422,0.9358685086,-3.983389478
296.986,-0.8965181052,9.49031066,-1.335778422,1.851451732,-1.236639809
296.9865,-2.727684551,6.438366583,-1.030584014,3.987812586,0.2893322296
296.987,-3.948462182,6.743560991,-1.030584014,6.429367847,0.5945266373
296.9875,-2.727684551,7.353949806,-0.420195199,7.955339886,-0.01586217811
296.988,0.01906511792,5.827977767,0.1901936164,7.34495107,-0.01586217811
296.9885,1.545037156,4.302005729,1.410971247,5.513784624,-0.9314454012
296.989,0.934648341,4.912394544,1.716165655,3.682618178,-1.847028624
296.9895,0.01906511792,5.52278336,-0.1150007913,2.767034955,-2.762611847
296.99,0.3242595256,3.996811321,-1.335778422,2.767034955,-2.762611847
296.9905,1.545037156,1.55525606,-1.335778422,4.293006993,-2.762611847
296.991,0.934648341,1.250061652,-0.1150007913,6.734562255,-1.847028624
296.9915,0.01906511792,2.165644875,0.8005824318,7.955339886,-0.6262509935
296.992,-0.8965181052,1.55525606,1.105776839,7.039756663,-0.01586217811
296.9925,-0.5913236975,-0.5811047943,1.716165655,5.208590216,0.5945266373
296.993,-1.506906921,-1.496688017,2.936943286,5.208590216,1.204915453
296.9935,-3.338073367,0.02928402113,2.32655447,7.650145478,1.815304268
296.994,-4.864045405,0.02928402113,-0.1150007913,10.39689515,2.425693084
296.9945,-4.25365659,-1.19149361,-2.251361645,11.61767278,3.036081899
296.995,-3.948462182,-3.022660056,-2.556556053,11.00728396,3.341276307
296.9955,-5.779628628,-3.022660056,-1.64097283,9.176117517,3.341276307
296.996,-7.915989482,-2.717465648,-1.335778422,7.650145478,2.730887491
296.9965,-6.695211852,-3.938243279,-1.030584014,6.429367847,2.120498676
296.997,-2.422490144,-5.15902091,0.1901936164,6.124173439,1.815304268
296.9975,0.01906511792,-4.243437687,2.021360063,5.818979032,1.815304268
