"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.DIG. RT","s",307.98000,2000,22000,"uV"

"time","value"
307.98000,-4.082528091
307.98050,-2.556556053
307.98100,-1.946167238
307.98150,-1.335778422
307.98200,-1.335778422
307.98250,-1.946167238
307.98300,-3.472139276
307.98350,-4.082528091
307.98400,-2.861750461
307.98450,-1.030584014
307.98500,-0.1150007913
307.98550,-0.1150007913
307.98600,-0.7253896067
307.98650,-0.1150007913
307.98700,0.8005824318
307.98750,2.631748878
307.98800,3.547332101
307.98850,3.852526509
307.98900,3.242137693
307.98950,1.410971247
307.99000,-0.420195199
307.99050,-1.335778422
307.99100,-1.64097283
307.99150,-1.335778422
307.99200,-1.030584014
307.99250,-0.420195199
307.99300,0.1901936164
307.99350,-0.1150007913
307.99400,-1.030584014
307.99450,-2.251361645
307.99500,-1.64097283
307.99550,-0.420195199
307.99600,0.1901936164
307.99650,-0.1150007913
307.99700,0.1901936164
307.99750,1.716165655
307.99800,2.936943286
307.99850,2.631748878
307.99900,1.410971247
307.99950,0.4953880241
308.00000,0.1901936164
308.00050,-0.1150007913
308.00100,-0.1150007913
308.00150,0.1901936164
308.00200,2.32655447
308.00250,3.852526509
308.00300,3.852526509
308.00350,3.547332101
308.00400,3.242137693
308.00450,2.936943286
308.00500,2.021360063
308.00550,1.105776839
308.00600,1.105776839
308.00650,1.410971247
308.00700,-0.1150007913
308.00750,-3.472139276
308.00800,-5.303305722
308.00850,-4.387722499
308.00900,-2.861750461
308.00950,-2.556556053
308.01000,-1.946167238
308.01050,-0.1150007913
308.01100,1.105776839
308.01150,0.1901936164
308.01200,-1.946167238
308.01250,-3.166944868
308.01300,-2.861750461
308.01350,-2.861750461
308.01400,-2.861750461
308.01450,-2.251361645
308.01500,-1.030584014
308.01550,-1.946167238
308.01600,-4.082528091
308.01650,-4.387722499
308.01700,-1.946167238
308.01750,-0.1150007913
308.01800,-0.1150007913
308.01850,-1.030584014
