"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-BRACHIORAD. RT","s",318.98000,2000,22000,"uV"

"time","value"
318.98000,-3.948462182
318.98050,-10.35754474
318.98100,-15.54584967
318.98150,-20.4289602
318.98200,-28.3640148
318.98250,-36.90945821
318.98300,-39.35101348
318.98350,-29.88998684
318.98400,-13.10429441
318.98450,-1.201712513
318.98500,-0.2861292898
318.98550,-5.169239813
318.98600,-7.000406259
318.98650,-3.948462182
318.98700,-0.2861292898
318.98750,-1.506906921
318.98800,-7.000406259
318.98850,-11.57832237
318.98900,-10.35754474
318.98950,-3.948462182
318.99000,1.850231564
318.99050,5.207370049
318.99100,8.259314126
318.99150,12.83723024
318.99200,15.88917432
318.99250,13.14242465
318.99300,7.343730903
318.99350,3.986592418
318.99400,4.291786826
318.99450,3.376203603
318.99500,0.3242595256
318.99550,-0.8965181052
318.99600,0.3242595256
318.99650,0.934648341
318.99700,-0.2861292898
318.99750,-1.506906921
318.99800,-0.5913236975
318.99850,-0.8965181052
318.99900,-3.948462182
318.99950,-5.779628628
319.00000,-3.643267774
319.00050,-0.2861292898
319.00100,0.01906511792
319.00150,0.01906511792
319.00200,2.155425972
319.00250,5.207370049
319.00300,4.902175641
319.00350,2.46062038
319.00400,3.071009195
319.00450,8.259314126
319.00500,14.36320228
319.00550,18.33072958
319.00600,20.16189603
319.00650,21.07747925
319.00700,20.16189603
319.00750,16.80475754
319.00800,12.83723024
319.00850,10.09048057
319.00900,8.564508534
319.00950,6.733342087
319.01000,4.902175641
319.01050,4.291786826
319.01100,3.986592418
319.01150,2.46062038
319.01200,-0.5913236975
319.01250,-4.25365659
319.01300,-5.779628628
319.01350,-4.864045405
319.01400,-3.032878959
319.01450,-1.506906921
319.01500,0.01906511792
319.01550,1.545037156
319.01600,2.765814787
319.01650,2.46062038
319.01700,2.155425972
319.01750,3.376203603
319.01800,3.68139801
319.01850,1.545037156
319.01900,-2.117295736
319.01950,-3.948462182
319.02000,-2.117295736
319.02050,0.3242595256
319.02100,2.46062038
319.02150,3.986592418
319.02200,6.42814768
319.02250,7.343730903
319.02300,6.122953272
319.02350,3.68139801
319.02400,3.071009195
319.02450,3.376203603
319.02500,3.071009195
319.02550,2.155425972
319.02600,1.239842749
319.02650,1.239842749
319.02700,0.934648341
319.02750,0.6294539333
319.02800,0.6294539333
319.02850,-0.2861292898
319.02900,-4.558850998
319.02950,-10.35754474
319.03000,-13.71468323
319.03050,-14.01987764
319.03100,-13.40948882
319.03150,-12.79910001
319.03200,-10.66273915
319.03250,-7.305600667
319.03300,-4.558850998
319.03350,-2.727684551
319.03400,-1.812101328
319.03450,-2.422490144
319.03500,-6.084823036
319.03550,-10.35754474
319.03600,-10.66273915
319.03650,-7.610795075
319.03700,-4.864045405
319.03750,-4.558850998
319.03800,-2.422490144
319.03850,3.68139801
319.03900,11.3112582
319.03950,14.36320228
319.04000,11.3112582
319.04050,5.207370049
319.04100,1.239842749
319.04150,1.239842749
319.04200,4.596981233
319.04250,7.343730903
319.04300,7.038536495
319.04350,2.46062038
319.04400,-1.812101328
319.04450,-2.727684551
319.04500,0.6294539333
319.04550,5.207370049
319.04600,7.64892531
319.04650,5.207370049
319.04700,-1.812101328
319.04750,-11.27312797
319.04800,-17.07182171
319.04850,-16.4614329
319.04900,-11.27312797
319.04950,-7.610795075
319.05000,-8.22118389
319.05050,-9.441961521
319.05100,-5.779628628
319.05150,1.239842749
319.05200,5.207370049
319.05250,2.765814787
319.05300,0.01906511792
319.05350,1.239842749
319.05400,4.596981233
319.05450,2.765814787
319.05500,-2.422490144
319.05550,-3.643267774
319.05600,0.3242595256
319.05650,3.68139801
319.05700,0.934648341
319.05750,-3.338073367
319.05800,-3.338073367
319.05850,0.6294539333
319.05900,2.765814787
319.05950,0.934648341
319.06000,-2.117295736
319.06050,-4.25365659
319.06100,-4.558850998
319.06150,-3.032878959
319.06200,-1.201712513
319.06250,-0.8965181052
319.06300,-1.812101328
319.06350,0.01906511792
319.06400,5.512564457
319.06450,12.53203583
319.06500,16.80475754
319.06550,17.72034076
319.06600,16.49956313
