"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CARP.R RT","s",318.98000,2000,22000,"uV"

"time","value"
318.98000,-1.236639809
318.98050,-0.6262509935
318.98100,10.36074768
318.98150,21.95813518
318.98200,15.85424702
318.98250,-6.119750332
318.98300,-25.34699802
318.98350,-27.48335887
318.98400,-18.02233223
318.98450,-10.08727763
318.98500,-9.476888817
318.98550,-13.44441612
318.98600,-14.97038816
318.98650,-9.782083225
318.98700,-2.152223032
318.98750,-0.01586217811
318.98800,-3.678195071
318.98850,-7.645722371
318.98900,-4.898972701
318.98950,0.5945266373
318.99000,2.730887491
318.99050,3.341276307
318.99100,7.919192422
318.99150,15.24385821
318.99200,19.21138551
318.99250,17.07502465
318.99300,13.41269176
318.99350,10.05555328
318.99400,6.088025976
318.99450,1.51010986
318.99500,-0.01586217811
318.99550,2.120498676
318.99600,6.088025976
318.99650,10.05555328
318.99700,11.88671972
318.99750,10.9711365
318.99800,7.613998014
318.99850,4.25685953
318.99900,3.036081899
318.99950,1.815304268
319.00000,-1.236639809
319.00050,-5.509361517
319.00100,-7.340527963
319.00150,-6.42494474
319.00200,-5.204167109
319.00250,-4.898972701
319.00300,-4.288583886
319.00350,-3.373000663
319.00400,-3.373000663
319.00450,-3.983389478
319.00500,-4.288583886
319.00550,-4.898972701
319.00600,-6.42494474
319.00650,-7.645722371
319.00700,-6.730139148
319.00750,-3.678195071
319.00800,-0.9314454012
319.00850,0.5945266373
319.00900,2.120498676
319.00950,3.341276307
319.01000,2.730887491
319.01050,1.51010986
319.01100,2.425693084
319.01150,5.172442753
319.01200,6.393220384
319.01250,3.951665122
319.01300,0.899721045
319.01350,-0.01586217811
319.01400,1.204915453
319.01450,2.730887491
319.01500,3.646470714
319.01550,4.25685953
319.01600,4.562053937
319.01650,5.172442753
319.01700,6.393220384
319.01750,7.613998014
319.01800,6.088025976
319.01850,1.815304268
319.01900,-1.236639809
319.01950,-0.3210565858
319.02000,2.120498676
319.02050,2.730887491
319.02100,0.899721045
319.02150,0.2893322296
319.02200,0.899721045
319.02250,0.2893322296
319.02300,-1.236639809
319.02350,-2.45741744
319.02400,-1.541834217
319.02450,-0.3210565858
319.02500,-0.6262509935
319.02550,-0.3210565858
319.02600,-0.01586217811
319.02650,-1.236639809
319.02700,-2.45741744
319.02750,-1.541834217
319.02800,-0.01586217811
319.02850,-1.236639809
319.02900,-4.593778294
319.02950,-4.288583886
319.03000,0.2893322296
319.03050,3.036081899
319.03100,0.899721045
319.03150,-0.9314454012
319.03200,0.2893322296
319.03250,1.204915453
319.03300,-1.236639809
319.03350,-3.983389478
319.03400,-2.45741744
319.03450,0.5945266373
319.03500,1.815304268
319.03550,1.815304268
319.03600,2.730887491
319.03650,3.341276307
319.03700,0.899721045
319.03750,-6.42494474
319.03800,-20.46388749
319.03850,-36.6391911
319.03900,-43.96385689
319.03950,-37.85996873
319.04000,-32.97685821
319.04050,-44.87944011
319.04100,-58.61318846
319.04150,-42.13269044
319.04200,7.919192422
319.04250,53.39315917
319.04300,62.24379699
319.04350,48.51004865
319.04400,43.32174372
319.04450,49.73082628
319.04500,48.81524305
319.04550,35.69188352
319.04600,20.43216314
319.04650,6.088025976
319.04700,-13.74961052
319.04750,-32.06127499
319.04800,-30.23010854
319.04850,-9.782083225
319.04900,6.698414791
319.04950,6.393220384
319.05000,-0.6262509935
319.05050,0.5945266373
319.05100,10.05555328
319.05150,16.46463584
319.05200,14.9386638
319.05250,9.139970053
319.05300,4.25685953
319.05350,2.730887491
319.05400,5.477637161
319.05450,10.9711365
319.05500,14.9386638
319.05550,14.02308058
319.05600,8.22438683
319.05650,-1.541834217
319.05700,-11.91844408
319.05750,-17.71713782
319.05800,-15.27558256
319.05850,-8.561305594
319.05900,-3.373000663
319.05950,-1.847028624
319.06000,-1.847028624
319.06050,-0.6262509935
319.06100,0.899721045
319.06150,0.899721045
319.06200,-1.541834217
319.06250,-5.814555924
319.06300,-9.782083225
319.06350,-9.782083225
319.06400,-6.119750332
319.06450,-2.45741744
319.06500,-1.541834217
319.06550,-1.236639809
319.06600,-0.01586217811
319.06650,-0.01586217811
319.06700,-1.541834217
