"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.CARP.ULN. RT","s",340.98000,2000,22000,"uV"

"time","value"
340.98000,8.269533029
340.98050,7.659144214
340.98100,5.52278336
340.98150,3.386422506
340.98200,2.77603369
340.98250,3.081228098
340.98300,2.77603369
340.98350,0.9448672442
340.98400,-0.5811047943
340.98450,-1.19149361
340.98500,-1.19149361
340.98550,-1.496688017
340.98600,-3.022660056
340.98650,-4.853826502
340.98700,-4.853826502
340.98750,-3.327854464
340.98800,-3.327854464
340.98850,-4.853826502
340.98900,-5.769409725
340.98950,-4.243437687
340.99000,-1.19149361
340.99050,0.02928402113
340.99100,0.02928402113
340.99150,-0.5811047943
340.99200,-0.5811047943
340.99250,-0.886299202
340.99300,-0.886299202
340.99350,-0.2759103866
340.99400,0.3344784288
340.99450,0.3344784288
340.99500,0.6396728365
340.99550,1.860450467
340.99600,2.470839283
340.99650,1.860450467
340.99700,1.250061652
340.99750,2.470839283
340.99800,3.996811321
340.99850,3.691616914
340.99900,2.165644875
340.99950,1.860450467
341.00000,3.996811321
341.00050,6.133172175
341.00100,6.438366583
341.00150,5.52278336
341.00200,4.607200137
341.00250,3.386422506
341.00300,1.860450467
341.00350,0.02928402113
341.00400,-1.801882425
341.00450,-3.327854464
341.00500,-3.327854464
341.00550,-3.022660056
341.00600,-3.633048871
341.00650,-5.464215317
341.00700,-6.990187356
341.00750,-6.684992948
341.00800,-5.464215317
341.00850,-5.464215317
341.00900,-6.990187356
341.00950,-7.905770579
341.01000,-8.210964987
341.01050,-9.12654821
341.01100,-9.431742618
341.01150,-7.600576171
341.01200,-4.548632094
341.01250,-2.717465648
341.01300,-3.938243279
341.01350,-4.853826502
341.01400,-3.938243279
341.01450,-0.886299202
341.01500,3.081228098
341.01550,7.659144214
341.01600,10.40589388
341.01650,7.964338621
341.01700,1.860450467
341.01750,-2.41227124
341.01800,-1.19149361
341.01850,4.302005729
341.01900,9.185116252
341.01950,9.795505068
341.02000,7.964338621
341.02050,6.133172175
341.02100,5.52278336
341.02150,3.996811321
341.02200,1.55525606
341.02250,0.3344784288
341.02300,3.081228098
341.02350,7.659144214
341.02400,8.574727437
341.02450,3.691616914
341.02500,-2.107076833
341.02550,-4.243437687
341.02600,-3.938243279
341.02650,-5.769409725
341.02700,-10.04213143
341.02750,-11.87329788
341.02800,-9.12654821
341.02850,-5.769409725
341.02900,-5.15902091
341.02950,-5.769409725
341.03000,-5.15902091
341.03050,-2.717465648
341.03100,-0.5811047943
341.03150,0.9448672442
341.03200,2.165644875
341.03250,2.470839283
341.03300,2.470839283
341.03350,3.386422506
341.03400,4.912394544
341.03450,5.827977767
341.03500,5.827977767
341.03550,7.048755398
341.03600,9.49031066
341.03650,9.795505068
341.03700,6.743560991
341.03750,3.691616914
341.03800,4.302005729
341.03850,6.743560991
341.03900,7.353949806
341.03950,6.133172175
341.04000,5.217588952
341.04050,4.302005729
341.04100,2.165644875
341.04150,-0.5811047943
341.04200,-2.107076833
341.04250,-2.107076833
341.04300,-3.022660056
341.04350,-5.464215317
341.04400,-6.684992948
341.04450,-5.464215317
341.04500,-3.938243279
341.04550,-4.548632094
341.04600,-6.074604133
341.04650,-6.990187356
341.04700,-6.684992948
341.04750,-6.990187356
341.04800,-8.210964987
341.04850,-8.210964987
341.04900,-6.990187356
341.04950,-6.684992948
341.05000,-7.600576171
341.05050,-7.295381764
341.05100,-5.464215317
341.05150,-3.022660056
341.05200,-2.107076833
341.05250,-1.496688017
341.05300,-0.2759103866
341.05350,0.3344784288
341.05400,0.02928402113
341.05450,-0.886299202
341.05500,-0.5811047943
341.05550,0.9448672442
341.05600,3.386422506
341.05650,6.133172175
341.05700,8.574727437
341.05750,8.879921844
