"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-BRACHIORAD. RT","s",153.98000,2000,22000,"uV"

"time","value"
153.98000,2.765814787
153.98050,6.122953272
153.98100,6.42814768
153.98150,5.817758864
153.98200,6.733342087
153.98250,9.480091757
153.98300,11.0060638
153.98350,10.39567498
153.98400,9.785286164
153.98450,10.09048057
153.98500,9.480091757
153.98550,4.902175641
153.98600,-2.422490144
153.98650,-9.441961521
153.98700,-13.40948882
153.98750,-14.01987764
153.98800,-12.4939056
153.98850,-9.136767113
153.98900,-5.169239813
153.98950,-2.117295736
153.99000,-2.727684551
153.99050,-6.084823036
153.99100,-9.136767113
153.99150,-8.526378298
153.99200,-2.422490144
153.99250,5.817758864
153.99300,12.22684143
153.99350,13.44761906
153.99400,11.0060638
153.99450,7.64892531
153.99500,5.512564457
153.99550,5.512564457
153.99600,6.733342087
153.99650,7.954119718
153.99700,7.954119718
153.99750,8.259314126
153.99800,9.785286164
153.99850,11.92164702
153.99900,12.22684143
153.99950,9.785286164
154.00000,7.038536495
154.00050,6.122953272
154.00100,3.986592418
154.00150,-0.2861292898
154.00200,-6.390017444
154.00250,-10.05235034
154.00300,-10.96793356
154.00350,-9.136767113
154.00400,-5.779628628
154.00450,-3.032878959
154.00500,-2.727684551
154.00550,-3.032878959
154.00600,0.3242595256
154.00650,7.954119718
154.00700,13.44761906
154.00750,13.75281346
154.00800,11.3112582
154.00850,6.733342087
154.00900,-0.5913236975
154.00950,-7.610795075
154.01000,-4.25365659
154.01050,7.64892531
154.01100,14.05800787
154.01150,5.817758864
154.01200,-3.643267774
154.01250,-1.506906921
154.01300,1.545037156
154.01350,-13.40948882
154.01400,-45.14970722
154.01450,-67.12370458
154.01500,-64.0717605
154.01550,-45.76009604
154.01600,-27.75362598
154.01650,-13.10429441
154.01700,0.01906511792
154.01750,5.512564457
154.01800,0.934648341
154.01850,-4.558850998
154.01900,-3.643267774
154.01950,0.01906511792
154.02000,-0.2861292898
154.02050,-4.25365659
154.02100,-5.474434221
154.02150,-3.643267774
154.02200,-3.032878959
154.02250,-2.117295736
154.02300,4.902175641
154.02350,14.9735911
154.02400,18.9411184
154.02450,15.2787855
154.02500,14.05800787
154.02550,21.68786806
154.02600,30.8437003
154.02650,32.36967233
154.02700,25.35020096
154.02750,18.33072958
154.02800,14.05800787
154.02850,10.09048057
154.02900,6.122953272
154.02950,7.343730903
154.03000,15.2787855
154.03050,23.51903451
154.03100,26.876173
154.03150,28.09695063
154.03200,31.75928352
154.03250,36.03200523
154.03300,37.86317167
154.03350,39.0839493
154.03400,45.49303187
154.03450,54.34366969
154.03500,56.78522495
154.03550,50.07094798
154.03600,42.44108779
154.03650,40.91511575
154.03700,39.0839493
154.03750,21.68786806
154.03800,-20.12376579
154.03850,-78.11070325
154.03900,-126.0262253
154.03950,-140.3703624
154.04000,-117.7859763
154.04050,-81.16264733
154.04100,-54.30553945
154.04150,-42.70815196
154.04200,-34.77309736
154.04250,-25.00687631
154.04300,-21.64973783
154.04350,-28.66920921
154.04400,-36.90945821
154.04450,-35.68868058
154.04500,-26.53284835
154.04550,-17.68221053
154.04600,-11.27312797
154.04650,-4.25365659
154.04700,1.545037156
154.04750,4.291786826
154.04800,5.207370049
154.04850,8.869702941
154.04900,14.9735911
154.04950,18.63592399
154.05000,18.33072958
154.05050,18.9411184
154.05100,23.2138401
154.05150,28.70733944
154.05200,31.75928352
154.05250,33.28525556
154.05300,32.98006115
154.05350,29.92811707
154.05400,23.51903451
154.05450,17.41514636
154.05500,14.66839669
