"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.CARP.ULN. RT","s",153.98000,2000,22000,"uV"

"time","value"
153.98000,-3.327854464
153.98050,-3.938243279
153.98100,-5.15902091
153.98150,-4.548632094
153.98200,-3.633048871
153.98250,-4.548632094
153.98300,-6.990187356
153.98350,-6.990187356
153.98400,-4.243437687
153.98450,-2.107076833
153.98500,-2.717465648
153.98550,-4.243437687
153.98600,-3.633048871
153.98650,-2.107076833
153.98700,-1.19149361
153.98750,-1.496688017
153.98800,-2.107076833
153.98850,-3.022660056
153.98900,-2.717465648
153.98950,-1.19149361
153.99000,1.250061652
153.99050,3.081228098
153.99100,3.081228098
153.99150,3.081228098
153.99200,2.470839283
153.99250,0.6396728365
153.99300,-1.801882425
153.99350,-2.107076833
153.99400,0.02928402113
153.99450,1.860450467
153.99500,1.55525606
153.99550,0.3344784288
153.99600,0.3344784288
153.99650,1.250061652
153.99700,0.9448672442
153.99750,-0.2759103866
153.99800,-1.19149361
153.99850,-1.19149361
153.99900,-0.5811047943
153.99950,-0.2759103866
154.00000,-0.5811047943
154.00050,-1.496688017
154.00100,-3.022660056
154.00150,-3.633048871
154.00200,-3.938243279
154.00250,-4.243437687
154.00300,-3.938243279
154.00350,-2.717465648
154.00400,-1.496688017
154.00450,-1.801882425
154.00500,-3.022660056
154.00550,-3.633048871
154.00600,-3.022660056
154.00650,-2.41227124
154.00700,-3.022660056
154.00750,-3.022660056
154.00800,-1.801882425
154.00850,-0.5811047943
154.00900,-0.5811047943
154.00950,-0.5811047943
154.01000,0.02928402113
154.01050,0.6396728365
154.01100,1.250061652
154.01150,1.55525606
154.01200,1.250061652
154.01250,-0.5811047943
154.01300,-2.107076833
154.01350,-1.19149361
154.01400,2.470839283
154.01450,6.133172175
154.01500,7.048755398
154.01550,6.133172175
154.01600,4.912394544
154.01650,3.996811321
154.01700,2.77603369
154.01750,2.77603369
154.01800,3.386422506
154.01850,2.77603369
