"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-FLEX.CARP.R RT","s",175.98000,2000,22000,"uV"

"time","value"
175.98000,-2.762611847
175.98050,1.204915453
175.98100,7.308803607
175.98150,10.36074768
175.98200,8.22438683
175.98250,4.562053937
175.98300,3.951665122
175.98350,4.562053937
175.98400,3.341276307
175.98450,0.5945266373
175.98500,-0.01586217811
175.98550,1.815304268
175.98600,4.25685953
175.98650,5.782831568
175.98700,6.393220384
175.98750,5.782831568
175.98800,1.51010986
175.98850,-3.373000663
175.98900,-4.288583886
175.98950,-0.6262509935
175.99000,1.51010986
175.99050,-0.01586217811
175.99100,-0.6262509935
175.99150,3.036081899
175.99200,6.698414791
175.99250,4.25685953
175.99300,-1.541834217
175.99350,-5.509361517
175.99400,-7.035333555
175.99450,-9.476888817
175.99500,-11.91844408
175.99550,-11.30805526
175.99600,-7.340527963
175.99650,-3.067806255
175.99700,1.815304268
175.99750,8.22438683
175.99800,11.58152531
175.99850,7.308803607
175.99900,-2.152223032
175.99950,-8.866500001
176.00000,-8.866500001
176.00050,-7.035333555
176.00100,-7.340527963
176.00150,-7.645722371
176.00200,-3.678195071
176.00250,3.646470714
176.00300,11.27633091
176.00350,15.24385821
176.00400,13.41269176
176.00450,7.919192422
176.00500,3.951665122
176.00550,3.646470714
176.00600,2.730887491
176.00650,-2.152223032
176.00700,-5.509361517
176.00750,1.204915453
176.00800,15.85424702
176.00850,24.70488485
176.00900,21.65294077
176.00950,14.9386638
176.01000,12.49710854
176.01050,9.750358868
176.01100,-0.01586217811
176.01150,-11.91844408
176.01200,-15.27558256
176.01250,-9.476888817
176.01300,-3.983389478
176.01350,-4.898972701
176.01400,-6.42494474
176.01450,-3.983389478
176.01500,0.5945266373
176.01550,5.172442753
176.01600,8.529581238
176.01650,9.445164461
176.01700,3.341276307
176.01750,-7.645722371
176.01800,-16.49636019
176.01850,-15.88597138
176.01900,-9.171694409
176.01950,-3.067806255
176.02000,-0.3210565858
176.02050,-0.6262509935
176.02100,-3.983389478
176.02150,-8.561305594
176.02200,-10.39247204
176.02250,-6.119750332
176.02300,0.899721045
176.02350,4.562053937
176.02400,4.562053937
176.02450,4.867248345
176.02500,6.393220384
176.02550,6.088025976
176.02600,3.036081899
176.02650,-0.01586217811
176.02700,-0.01586217811
176.02750,0.899721045
176.02800,-0.3210565858
176.02850,-3.983389478
176.02900,-6.119750332
176.02950,-5.814555924
176.03000,-5.204167109
176.03050,-5.204167109
176.03100,-4.288583886
176.03150,-3.067806255
176.03200,-3.983389478
176.03250,-7.340527963
176.03300,-8.866500001
176.03350,-6.42494474
176.03400,-3.373000663
176.03450,-2.152223032
176.03500,-0.9314454012
176.03550,3.036081899
176.03600,7.613998014
176.03650,7.919192422
176.03700,3.951665122
176.03750,-0.01586217811
176.03800,-2.45741744
176.03850,-3.373000663
176.03900,-2.45741744
176.03950,-2.152223032
176.04000,-7.645722371
176.04050,-19.85349868
176.04100,-29.61971973
176.04150,-29.00933091
176.04200,-18.63272105
176.04250,-4.288583886
176.04300,10.05555328
176.04350,21.95813518
176.04400,23.17891281
176.04450,13.41269176
176.04500,7.613998014
176.04550,20.12696873
176.04600,43.32174372
176.04650,53.69835358
176.04700,42.7113549
176.04750,20.73735755
176.04800,-0.01586217811
176.04850,-18.02233223
176.04900,-30.53530295
176.04950,-29.61971973
176.05000,-16.19116579
176.05050,-3.678195071
176.05100,-2.45741744
176.05150,-7.340527963
176.05200,-9.782083225
176.05250,-10.08727763
176.05300,-11.30805526
176.05350,-10.08727763
176.05400,-3.373000663
176.05450,2.730887491
176.05500,1.51010986
176.05550,-5.204167109
176.05600,-10.39247204
176.05650,-9.171694409
176.05700,-3.373000663
176.05750,4.25685953
176.05800,10.66594209
176.05850,12.49710854
176.05900,10.05555328
176.05950,8.834775645
176.06000,12.19191413
176.06050,16.46463584
176.06100,17.38021906
176.06150,16.15944143
176.06200,15.85424702
176.06250,15.24385821
176.06300,11.58152531
176.06350,6.393220384
176.06400,1.815304268
176.06450,-1.236639809
176.06500,-3.678195071
176.06550,-4.288583886
176.06600,-3.373000663
176.06650,-3.983389478
176.06700,-5.509361517
176.06750,-4.593778294
176.06800,-0.3210565858
176.06850,1.204915453
176.06900,-0.6262509935
176.06950,-1.236639809
176.07000,2.120498676
176.07050,3.646470714
176.07100,-2.152223032
176.07150,-10.08727763
176.07200,-10.69766645
176.07250,-5.204167109
176.07300,-2.45741744
176.07350,-5.814555924
176.07400,-9.782083225
176.07450,-9.782083225
176.07500,-7.645722371
176.07550,-6.119750332
176.07600,-6.119750332
176.07650,-9.171694409
176.07700,-14.35999934
176.07750,-16.19116579
176.07800,-10.69766645
176.07850,-1.236639809
176.07900,3.646470714
176.07950,3.341276307
176.08000,2.730887491
176.08050,4.562053937
176.08100,7.919192422
176.08150,11.58152531
176.08200,15.85424702
176.08250,19.21138551
176.08300,19.21138551
176.08350,15.85424702
176.08400,11.27633091
176.08450,6.088025976
176.08500,-0.01586217811
176.08550,-5.509361517
176.08600,-7.950916778
176.08650,-6.42494474
176.08700,-3.373000663
176.08750,0.899721045
176.08800,4.867248345
176.08850,3.646470714
176.08900,-1.847028624
176.08950,-4.288583886
176.09000,2.120498676
176.09050,10.36074768
176.09100,8.529581238
176.09150,-4.288583886
176.09200,-17.10674901
176.09250,-21.98985953
176.09300,-22.29505394
176.09350,-21.37947072
176.09400,-18.93791546
176.09450,-13.13922171
176.09500,-6.730139148
176.09550,-3.678195071
176.09600,-5.204167109
176.09650,-9.476888817
176.09700,-12.22363849
176.09750,-7.950916778
176.09800,3.646470714
176.09850,14.63346939
176.09900,16.46463584
176.09950,11.27633091
176.10000,7.308803607
176.10050,6.088025976
176.10100,2.730887491
176.10150,-3.678195071
176.10200,-6.42494474
176.10250,-2.152223032
176.10300,3.036081899
176.10350,5.477637161
176.10400,6.088025976
176.10450,8.529581238
176.10500,9.750358868
176.10550,6.698414791
176.10600,2.120498676
176.10650,-0.9314454012
176.10700,-4.288583886
176.10750,-9.476888817
176.10800,-12.8340273
176.10850,-8.866500001
176.10900,2.120498676
176.10950,13.71788617
176.11000,20.43216314
176.11050,20.12696873
176.11100,16.15944143
176.11150,12.19191413
176.11200,11.27633091
176.11250,10.9711365
176.11300,5.172442753
176.11350,-6.42494474
176.11400,-17.41194342
176.11450,-19.54830427
176.11500,-13.74961052
