time,Brachiarod, EXt Carp,EXT DIG,Flex CarpU,Flex Carp R
197.98,21.99306247,2.165644875,110.3653748,0.02028528547,1.204915453
197.9805,21.68786806,-0.5811047943,123.1835399,-2.116075568,0.2893322296
197.981,19.2463128,-1.801882425,128.3718449,-3.642047607,-0.3210565858
197.9815,16.19436873,-0.5811047943,101.8199314,-2.421269976,0.899721045
197.982,14.05800787,0.6396728365,47.49532681,-0.2849091222,1.51010986
197.9825,12.22684143,0.02928402113,-5.60850013,-0.2849091222,3.036081899
197.983,7.64892531,-1.801882425,-44.36818991,-1.200492345,10.05555328
197.9835,-3.643267774,-0.886299202,-81.90710206,0.6306741009,19.51657991
197.984,-19.51337697,2.165644875,-124.6343191,6.734562255,21.34774636
197.9845,-32.02634769,4.607200137,-156.6797319,10.70208956,14.63346939
197.985,-35.07829177,3.691616914,-163.3940089,7.955339886,6.698414791
197.9855,-29.27959802,0.6396728365,-144.77715,0.9358685086,3.341276307
197.986,-19.20818257,-2.41227124,-106.6278491,-4.862825238,2.730887491
197.9865,-9.136767113,-3.938243279,-53.82921655,-6.999186092,2.425693084
197.987,-3.032878959,-3.327854464,-0.7253896067,-7.914769315,2.730887491
197.9875,-2.117295736,-0.5811047943,35.2875505,-8.52515813,1.51010986
197.988,-4.25365659,0.9448672442,51.1576597,-8.52515813,-2.45741744
197.9885,-4.864045405,0.6396728365,55.73557582,-7.914769315,-7.950916778
197.989,-3.032878959,-0.2759103866,56.34596463,-7.304380499,-9.782083225
197.9895,-0.5913236975,-0.2759103866,52.37843733,-7.304380499,-7.340527963
197.99,0.934648341,0.3344784288,45.66416036,-6.999186092,-3.983389478
197.9905,1.850231564,0.9448672442,39.86546662,-5.168019645,-2.152223032
197.991,0.01906511792,0.6396728365,32.23560643,-3.336853199,-0.9314454012
197.9915,-5.474434221,0.9448672442,20.02783012,-1.505686753,-0.6262509935
197.992,-10.96793356,1.55525606,8.430442624,0.3254796932,-1.541834217
197.9925,-11.57832237,2.165644875,4.768109732,2.767034955,-2.762611847
197.993,-8.526378298,2.165644875,5.683692955,6.429367847,-3.067806255
197.9935,-7.610795075,2.165644875,2.021360063,9.176117517,-1.847028624
197.994,-9.136767113,1.250061652,-4.692916907,10.39689515,-0.01586217811
197.9945,-7.610795075,-0.5811047943,-8.660444207,9.481311924,1.815304268
197.995,-0.5913236975,-2.41227124,-13.23836032,6.734562255,2.120498676
197.9955,4.291786826,-3.327854464,-24.53055341,3.682618178,-1.847028624
197.996,2.155425972,-4.243437687,-36.73832972,0.9358685086,-8.866500001
197.9965,-3.643267774,-6.684992948,-36.73832972,0.02028528547,-11.00286086
197.997,-7.000406259,-9.12654821,-25.75133104,0.02028528547,-6.119750332
197.9975,-6.695211852,-9.736937025,-17.81627644,0.9358685086,0.2893322296
197.998,-5.474434221,-8.210964987,-18.12147085,1.241062916,1.815304268
197.9985,-5.474434221,-6.074604133,-19.03705407,0.9358685086,-0.6262509935
197.999,-4.864045405,-5.15902091,-13.84874914,1.241062916,-1.847028624
197.9995,-2.422490144,-5.15902091,-8.355249799,1.241062916,-0.3210565858
198.0,-0.5913236975,-4.853826502,-8.965638615,0.3254796932,0.5945266373
198.0005,-0.2861292898,-3.633048871,-12.62797151,0.02028528547,-0.6262509935
198.001,-0.2861292898,-0.886299202,-13.54355473,0.9358685086,-3.067806255
198.0015,0.3242595256,2.165644875,-11.71238828,2.767034955,-4.288583886
198.002,1.239842749,3.691616914,-9.270833022,3.37742377,-3.678195071
198.0025,0.934648341,3.691616914,-6.218888945,2.767034955,-2.152223032
198.003,-0.2861292898,4.302005729,-1.335778422,1.546257324,-0.9314454012
198.0035,-2.117295736,5.52278336,3.547332101,0.3254796932,-1.236639809
198.004,-3.032878959,5.217588952,7.209664994,-2.116075568,-2.152223032
