"type","name","time_units","begin_time","frequency","count","units"
"signal","Ultium EMG-EXT.DIG. RT","s",219.98000,2000,22000,"uV"

"time","value"
219.98000,69.16412976
219.98050,87.47579422
219.98100,96.32643204
219.98150,72.52126824
219.98200,32.84599524
219.98250,6.904470586
219.98300,-0.1150007913
219.98350,-3.166944868
219.98400,-10.18641625
219.98450,-14.45913795
219.98500,-12.3227771
219.98550,-11.10199947
219.98600,-12.62797151
219.98650,-10.18641625
219.98700,0.8005824318
219.98750,12.70316433
219.98800,11.17719229
219.98850,-5.303305722
219.98900,-24.225359
219.98950,-33.38119123
219.99000,-31.55002478
219.99050,-24.225359
219.99100,-15.67991558
219.99150,-7.744860984
219.99200,-1.64097283
219.99250,4.768109732
219.99300,16.06030282
219.99350,30.40443998
219.99400,39.56027221
219.99450,40.17066103
219.99500,36.81352254
219.99550,34.67716169
219.99600,32.23560643
219.99650,25.82652386
219.99700,16.36549722
219.99750,6.599276178
219.99800,-3.166944868
219.99850,-12.93316591
219.99900,-18.42666525
219.99950,-20.56302611
220.00000,-27.27730308
220.00050,-40.0954682
220.00100,-46.80974517
220.00150,-35.82274649
220.00200,-15.67991558
220.00250,-4.998111315
220.00300,-8.050055392
220.00350,-11.71238828
220.00400,-8.355249799
220.00450,-4.082528091
220.00500,-5.60850013
220.00550,-8.965638615
220.00600,-7.439666576
220.00650,-3.166944868
220.00700,-2.556556053
220.00750,-5.60850013
220.00800,-6.524083353
220.00850,-3.472139276
220.00900,-0.7253896067
220.00950,-3.166944868
220.01000,-8.965638615
220.01050,-10.79680506
220.01100,-4.387722499
220.01150,6.29408177
220.01200,14.22913637
220.01250,13.31355315
220.01300,5.683692955
220.01350,-1.946167238
220.01400,-5.303305722
220.01450,-7.134472168
220.01500,-14.45913795
220.01550,-27.88769189
220.01600,-40.40066261
220.01650,-42.23182905
220.01700,-31.24483038
220.01750,-13.23836032
220.01800,2.631748878
220.01850,11.78758111
220.01900,16.97588604
220.01950,29.48885676
220.02000,55.125187
220.02050,80.15112843
220.02100,78.6251564
220.02150,44.13818833
220.02200,1.105776839
220.02250,-23.61497018
220.02300,-31.85521919
220.02350,-39.79027379
220.02400,-48.33571721
220.02450,-46.19935635
220.02500,-33.99158005
220.02550,-20.86822052
220.02600,1.716165655
220.02650,50.85246529
220.02700,112.8069301
220.02750,143.9367596
220.02800,121.6575679
220.02850,70.6901018
220.02900,26.43691268
220.02950,-4.692916907
220.03000,-33.99158005
220.03050,-58.40713266
220.03100,-65.12140963
220.03150,-55.04999418
220.03200,-43.14741228
220.03250,-35.82274649
220.03300,-29.10846952
220.03350,-20.86822052
220.03400,-14.45913795
220.03450,-8.355249799
220.03500,1.105776839
220.03550,12.39796992
220.03600,18.50185808
220.03650,18.50185808
220.03700,17.28108045
220.03750,15.449914
220.03800,9.956414663
220.03850,1.410971247
220.03900,-3.472139276
220.03950,-2.861750461
220.04000,-0.420195199
220.04050,-1.030584014
220.04100,-5.60850013
220.04150,-14.45913795
220.04200,-23.61497018
220.04250,-26.05652545
220.04300,-16.2903044
220.04350,0.8005824318
220.04400,11.78758111
220.04450,7.514859401
220.04500,-6.829277761
220.04550,-15.67991558
220.04600,-9.57602743
220.04650,5.07330414
220.04700,13.61874756
220.04750,9.346025847
220.04800,-0.420195199
220.04850,-4.692916907
220.04900,0.1901936164
220.04950,6.29408177
220.05000,3.547332101
220.05050,-8.660444207
220.05100,-20.86822052
220.05150,-20.56302611
220.05200,-7.744860984
220.05250,6.599276178
220.05300,13.00835874
220.05350,13.31355315
220.05400,11.4823867
220.05450,5.07330414
220.05500,-9.881221838
220.05550,-25.75133104
220.05600,-28.49808071
220.05650,-19.34224848
220.05700,-15.98510999
220.05750,-26.05652545
220.05800,-36.73832972
220.05850,-36.1279409
220.05900,-33.07599682
220.05950,-41.62144024
220.06000,-55.04999418
220.06050,-53.21882773
220.06100,-33.07599682
220.06150,-13.23836032
220.06200,-7.439666576
220.06250,-7.439666576
220.06300,-0.1150007913
220.06350,11.78758111
220.06400,18.50185808
220.06450,18.50185808
220.06500,17.89146926
220.06550,19.11224689
220.06600,18.50185808
220.06650,15.75510841
220.06700,14.53433078
220.06750,15.449914
220.06800,16.36549722
220.06850,16.67069163
220.06900,17.58627486
220.06950,19.72263571
220.07000,19.11224689
220.07050,13.92394196
220.07100,8.125248217
220.07150,6.29408177
220.07200,10.56680348
220.07250,17.58627486
220.07300,22.16419097
220.07350,21.24860775
220.07400,16.36549722
220.07450,12.39796992
220.07500,11.78758111
220.07550,13.00835874
220.07600,12.70316433
220.07650,10.26160907
220.07700,7.209664994
220.07750,4.157720917
220.07800,1.410971247
220.07850,0.1901936164
220.07900,2.936943286
220.07950,8.430442624
220.08000,11.17719229
220.08050,7.514859401
220.08100,-0.1150007913
220.08150,-8.355249799
220.08200,-15.98510999
220.08250,-22.08899815
220.08300,-23.92016459
220.08350,-20.2578317
220.08400,-17.81627644
220.08450,-23.61497018
220.08500,-32.1604136
220.08550,-29.41366393
220.08600,-12.01758269
220.08650,9.346025847
220.08700,24.60574623
220.08750,32.23560643
220.08800,33.76157846
220.08850,27.96288472
220.08900,15.449914
220.08950,1.716165655
220.09000,-12.62797151
220.09050,-32.77080242
220.09100,-55.04999418
220.09150,-64.81621522
220.09200,-54.74479977
220.09250,-35.51755208
220.09300,-17.51108203
220.09350,7.209664994
220.09400,50.24207648
220.09450,97.54720967
220.09500,118.9108182
220.09550,99.98876493
220.09600,60.61868634
